Genes,CAOV3,JHOS2,PEO1,PEO4,OAW28,COV504,JHOS4,CAOV4,NIHOVCAR3,SNU8,PEA1,59M,ES2
AKR1A1,1.000000054,0.999999998,1.000000018,1.000000022,0.999999997,1.000000007,1.000000011,0.999999978,1.000000012,1.000000006,0.999301993,0.999776601,0.999999994
SLC19A1,0.999993099,1.000000059,1.000000053,0.999881608,0.999887837,0.999858299,0.999995218,0.999988583,0.999922091,0.999900891,0.99987904,0.999870103,0.999676423
CRYL1,1.000000038,1.000000022,1.000000002,1.000000002,0.999999969,0.999690047,1.000000003,1.000000008,1.000000003,1.000000016,0.999301965,0.999776598,0.999999993
SLC4A1,1.000000031,1.000000015,1.000000012,1.000000019,0.999999986,1.000000018,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
DPEP1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CYB5R1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CSKMT,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
B3GALT4,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
ST3GAL6,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
MRM2,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
FGFR1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
GUCY2C,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
NADSYN1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
APOA5,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CDK18,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CBX1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
DIO3,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
STK19,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
NCOR1,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
CYP2C8,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
VPS29,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
FUT3,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
DUSP11,1.000000017,1.000000008,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
PIK3C2G,1.000000039,1.000000028,1.000000004,1.000000019,0.999999993,1.000000022,1.000000004,0.999999978,1.00000001,0.999999984,1.000000028,1.000000025,1.000002987
HELZ2,1.000000014,1.000000026,0,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
ALAS2,1.000000018,1.000000011,0,1.000000011,1.000000006,1.000000011,1.000000001,0.999999965,1,1.000000011,1.000000007,1.000000015,1.000002925
HKDC1,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
STYXL1,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
SYNJ2,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
GLUD1,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
GATM,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
OTC,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
OGT,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
ZDHHC3,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
MYLK4,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
DPH5,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
SACM1L,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
PRODH,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
PTPRR,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
ASPH,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
DHRS3,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
PTP4A1,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
LATS1,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1,1.000000003,0.999999976,1,0.999999985,1.000000015,1.000000011,1.000000021
FADS1,1.000000031,1.000000015,1.000000012,1.000000019,0.999999977,1.000000022,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
AMDHD2,1.000000031,1.000000015,1.000000012,1.000000019,0.999999977,1.000000022,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
SLC17A1,1.000000031,1.000000015,1.000000012,1.000000019,0.999999977,1.000000022,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
PINK1,1.000000031,1.000000015,1.000000012,1.000000019,0.999999977,1.000000022,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
ATP6V1G2,1.000000031,1.000000015,1.000000012,1.000000019,0.999999977,1.000000022,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
ENO3,1.000000031,1.000000015,1.000000012,1.000000019,0.999999977,1.000000022,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,1.000000003,0.999999993
EIF2AK1,1.000000032,1.000000028,1.000000063,1.000000024,1.000000005,1.000000034,1.000000009,1.000000016,1.000000015,1.000000057,0.999999996,1.000000018,1
ACOT1,1.000000032,1.000000028,1.000000063,1.000000024,1.000000005,1.000000034,1.000000009,1.000000016,1.000000015,1.000000057,0.999999996,1.000000018,1
DDR1,1.000000032,1.000000028,1.000000063,1.000000024,1.000000005,1.000000034,1.000000009,1.000000016,1.000000015,1.000000057,0.999999996,1.000000018,1
PIP5K1C,1.000000018,1.000000011,0.999999992,1.000000011,1.000000006,1.000000011,1.000000001,0.999999965,1,1.000000011,1.000000007,1.000000015,1.000002925
ASPA,1.000000018,1.000000011,0.999999992,1.000000011,1.000000006,1.000000011,1.000000001,0.999999965,1,1.000000011,1.000000007,1.000000015,1.000002925
CDC42BPG,1.000000018,1.000000011,0.999999992,1.000000011,1.000000006,1.000000011,1.000000001,0.999999965,1,1.000000011,1.000000007,1.000000015,1.000002925
DHRS2,1.000000025,1.000000011,0.999999999,1.000000013,1.000000006,1.000000011,1.000000004,0.999999965,1,1.000000011,1.000000007,1.000000015,1.000002987
UQCRC1,1.000000018,0.994288286,0,1.000000011,1.000000006,1.000000011,1.000000001,0.999999965,1,1.000000011,1.000000007,1.000000015,1.000002925
ACVR1C,1.000000017,1.00000002,1.000000058,1.000000052,0.999999983,1.000000026,1.00000001,1.000000003,1.000000025,0.999999992,1.000000041,1.000000037,1.000002945
GALNT15,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
ADCY9,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
CDK9,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
DUOX2,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
GCAT,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
PRKCB,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
PPIL2,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
CTSF,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
FGFR2,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
PLCZ1,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
TGM1,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
G6PC1,1.000000021,1.000000005,1.000000125,1.000016654,1.000000007,1.000000022,1.000000005,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
ABCB11,1.000000008,1.000000014,1.000000054,1.000000026,1.000000005,1.000000016,1,0.999999986,1.000000001,1.000000003,0.999999991,1.000000003,0.999999993
MECR,1.000000008,1.000000014,1.000000054,1.000000026,1.000000005,1.000000016,1,0.999999986,1.000000001,1.000000003,0.999999991,1.000000003,0.999999993
SLC35A1,1.000000021,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
ADCY4,1.000000021,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
THNSL1,1.000000021,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
PPA2,1.000000021,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999993,1.000000044,1.000000042,0.999999987,1.000000011,0.999999993
ARSL,1.000000017,1.000000008,0,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
PTPRG,1.000000017,1.000000008,0.999936575,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000041,1.000000028,1.000000002,1.000000003,1
HSD17B12,1.00000001,1.000000014,0.999999934,0.99999954,0.999998511,1.000000009,1.000000008,1.000000009,0.992164747,1.000000018,0.999604766,1.000000003,0.987826541
CHST8,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1.000000005,1.000000003,0.999999976,1,0.999999952,1.000000015,1.000000011,1.000000021
METTL15,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1.000000005,1.000000003,0.999999976,1,0.999999952,1.000000015,1.000000011,1.000000021
ATP12A,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1.000000005,1.000000003,0.999999976,1,0.999999952,1.000000015,1.000000011,1.000000021
SLC10A1,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1.000000005,1.000000003,0.999999976,1,0.999999952,1.000000015,1.000000011,1.000000021
HIF1AN,1.000000014,1.000000026,0.999999906,1.000000007,0.999999988,1.000000005,1.000000003,0.999999976,1,0.999999952,1.000000015,1.000000011,1.000000021
PAM,1.000000037,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
MAP4K3,1.000000037,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
SLC31A1,1.000000037,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
THOP1,1.000000037,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
CHPT1,1.000000037,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
ST3GAL4,1.000000037,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
ZDHHC22,1.000000037,1.000000005,1.000000125,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
SCD5,1.000000037,1.000000005,1.00000013,1.000000028,1.000000007,1.000000022,1.00000001,0.999999959,1.000000023,1.000000042,0.999999987,1.000000011,0.999999993
NDUFA5,1.000000027,1.000000012,1.000000002,1.000000004,0.824761267,0.863402827,1,1.000000008,1.000000003,0.698408836,0.644228461,0.825892557,0.999999993
NDUFS1,1.000000038,1.000000009,1.000000002,1.000000002,0.824761263,0.86340283,1.000000003,1.000000008,1.000000003,0.698408836,0.644228478,0.825892556,0.999999993
CHST1,1.00000001,0.999999992,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
ALPG,1.00000001,0.999999998,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
UBE2I,1.00000001,0.999999998,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
CYP11B1,1.00000001,0.999999998,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
LIPF,1.00000001,0.999999998,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
LHPP,1.00000001,0.999999998,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
MARK2,1.00000001,0.999999998,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
GALNT13,1.00000001,0.999999998,0.999999998,1.000000026,0.999999992,1.000000032,1.000000006,1.000000014,1.000000013,1.000000014,1.000000033,1.000000018,1.000000015
SIAH2,1.000000033,1.000000016,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000038,1.000000057,0.999999996,1.000000006,1
KMT5A,1.000000033,1.000000016,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000038,1.000000057,0.999999996,1.000000006,1
ADI1,1.000000033,1.000000016,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000038,1.000000057,0.999999996,1.000000006,1
NUDT10,1.000000033,1.000000016,0.999999998,1.000000024,1.000000005,1.000000036,1,1.000000016,1.000000038,1.000000057,0.999999996,1.000000006,1
GNPDA1,1.000000012,1.00000001,0,1.000000015,1.000000006,1.000000011,1.000000001,0.999999965,1,1.000000017,1.000000007,1.000000015,1.000002925
MOK,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
B4GALT6,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
NDUFAF5,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
FGA,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
NAT9,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
CYP2U1,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
TBCB,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
POLB,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
SRPK2,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
PNMT,1.00000002,1.000000017,1.000000044,1.000000032,1.000000006,1.000000001,1.000000004,0.999999989,1.000000044,1.00000002,0.999999996,1.000000003,0.999999993
CSF1R,1.000000027,1.000000001,0.999999976,1.000000019,1.000000007,1.000000025,1,0.999999991,1.000000026,1.000000012,0.99999998,1.000000003,0.999999993
SLC24A4,1.000000037,1.000000018,1.000000044,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999976,1.000000011,0.999999993
FYN,1.000000037,1.000000018,1.000000044,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999976,1.000000011,0.999999993
PTPMT1,1.000000037,1.000000018,1.000000044,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999976,1.000000011,0.999999993
CTBP1,1.000000037,1.000000018,1.000000044,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999976,1.000000011,0.999999993
ANAPC11,1.000000037,1.000000018,1.000000044,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999976,1.000000011,0.999999993
ASNS,1.000000031,1.000000015,1.000000012,1.000000019,0,0,1.000000001,0.999999999,1.000000042,1.000000084,0.999999976,0,0.999999993
XYLB,1.000000032,1.000000016,0.999999972,0.999849729,0.999999987,0.999690064,1,0.999946642,1.000000019,0.999999929,0.999301954,0.999898473,0.999963423
SLC25A21,1.000000038,1.000000059,1.000000004,1.000000019,0.989859383,0.99768796,1.000000014,0.999999975,1.00000001,0.999999943,0.996141291,0.989255947,0.999999993
ACAA2,1.00000002,1.000000008,0.99999995,0.999999985,0.999999678,1.000000009,1.000000001,1.000000009,1.000000015,1.000000018,0.99999998,1.000000003,0.991638828
RPS6KC1,1.000000043,1.000000034,1.000000075,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
PPM1D,1.000000043,1.000000034,1.000000075,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
AHCYL2,1.000000043,1.000000034,1.000000075,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
PRMT5,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000005,1.000000004
PDK1,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000005,1.000000004
ACSM5,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000005,1.000000004
PIGH,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000005,1.000000004
SAT1,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000005,1.000000004
SLC22A1,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
NIT2,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
PREP,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
NT5C,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
PRMT8,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
SLC38A4,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
DUSP8,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
GUCY1A1,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
CTDSP1,1.000000043,1.000000034,1.000000111,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
DMPK,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
GGTLC1,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
TXN2,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
BCKDK,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
CPA6,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
DUSP6,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
PPIL1,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
CD38,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
USP8,1.000000043,1.000000034,1.000000132,1.000000028,1.000000007,1.000000018,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000008,1.000000004
ABCA1,1.00000001,1.000000013,0.999999934,0.99999598,0.999997641,1.000000009,1,1.000000009,0.987958378,1.000000018,0.999604775,1.000000003,0.973189899
DDO,1.000000036,1.000000015,1.000000111,1.000000026,1.000000007,1.000000021,1,0.999999986,1,1.000000025,0.999999978,1.000000005,1.000000004
PTEN,1.000000043,1.000000015,1.000000111,1.000000028,1.000000007,1.000000021,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000005,1.000000004
PLA2G2E,1.000000043,1.000000015,1.000000111,1.000000028,1.000000007,1.000000021,0.999999998,0.999999986,1.000000004,1.000000025,0.999999978,1.000000005,1.000000004
NDUFA8,1.000000003,1.000000017,0.999999992,1.000000022,0.824761282,0.863402828,1.000000004,0.999999986,1,0.698408725,0.64422848,0.825892557,0.999999993
NME5,1.000000037,1.00000001,1.00000013,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999987,1.000000011,0.999999993
CHST11,1.000000037,1.00000001,1.00000013,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999987,1.000000011,0.999999993
SLCO1A2,1.000000037,1.00000001,1.00000013,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999987,1.000000011,0.999999993
RNF41,1.000000037,1.00000001,1.00000013,1.000000028,1.000000007,1.000000023,1.00000001,0.999999959,1.000000023,1,0.999999987,1.000000011,0.999999993
SLC25A19,1.00000002,0.999999996,0.99999997,1.000000032,1.000000006,1.000000008,1.000000008,0.999999989,1.000000013,0.92862456,0.922009937,1.000000003,0.999999993
AMDHD1,1.000000032,0.999999997,1.000000012,1.000000019,0.998385167,1.000000026,1,0.999999983,1.000000045,0.99999996,0.999999976,0.997853446,0.999999993
ULK2,1.000000027,1.000000017,1.000000016,1.000000019,1.000000007,1.000000026,1.000000007,0.999999983,1.000000026,1.000000064,0.999999976,1.000000017,0.999999993
DPYD,1.000000027,1.000000017,1.000000016,1.000000019,1.000000007,1.000000026,1.000000007,0.999999983,1.000000026,1.000000064,0.999999976,1.000000017,0.999999993
EHMT1,1.000000027,1.000000017,1.000000016,1.000000019,1.000000007,1.000000026,1.000000007,0.999999983,1.000000026,1.000000064,0.999999976,1.000000017,0.999999993
MAP3K5,1.000000027,1.000000017,1.000000016,1.000000019,1.000000007,1.000000026,1.000000007,0.999999983,1.000000026,1.000000064,0.999999976,1.000000017,0.999999993
CA14,1.00000002,1.000000006,1.000000044,1.000000032,1.000000007,1.000000002,1.000000004,0.999999989,1.000000044,1,0.999999996,1.000000003,0.999999993
STARD6,1.00000002,1.000000006,1.000000052,1.000000032,1.000000007,1.000000002,1.000000004,0.999999989,1.000000044,1,0.999999996,1.000000003,0.999999993
HERC2,1.00000002,1.000000006,1.000000125,1.000000032,1.000000007,1.000000002,1.000000004,0.999999989,1.000000044,1,0.999999996,1.000000003,0.999999993
UBE2T,1.00000002,1.000000006,1.000000125,1.000000032,1.000000007,1.000000002,1.000000004,0.999999989,1.000000044,1,0.999999996,1.000000003,0.999999993
