Genes,CAOV3,JHOS2,PEO1,PEO4,OAW28,COV504,JHOS4,CAOV4,NIHOVCAR3,SNU8,PEA1,59M,ES2
PDE9A,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
RNF128,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
HAGH,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
ATM,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
SLC9A5,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
SLC25A32,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
FASTK,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
LGMN,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
HAGHL,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
SLC26A11,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
IKBKE,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
UCK2,1.000000022,1.000000013,0.999999972,1.000000017,0.999999984,1.000000007,1.000000006,0.999999994,1.000000019,0.999999925,0.999999983,1.000000021,1.000003005
HACE1,0.848722289,0.999999993,0.999999988,0.708511283,0.999999977,1.000000027,0.795976117,0.613551303,0.823500079,1,0.999999985,1.000000017,0.869866348
USP2,0.999999953,1.000000015,0,1.000000024,1.000000005,1.000000034,1.000000019,1.000000016,1.000000015,1.000000057,0.999999989,1.000000018,1
RFC5,1.000000027,1.00000003,1.000000009,1.000000028,1.000000007,1.000000017,1.000000001,0.999999985,1,1.000000012,0.999999978,1.000000025,0.999999993
SLC17A3,1.000000027,1.00000003,1.000000009,1.000000028,1.000000007,1.000000017,1.000000001,0.999999985,1,1.000000012,0.999999978,1.000000025,0.999999993
CA4,0.848722289,1.000000007,0.999999937,0.708511225,0.999999976,1.000000007,0.795976122,0.613551309,0.823500094,1.000000001,0.999999993,1.000000012,0.869866348
